"Timestamp","I have read the description of the testing and of my rights as the participant presented above. I hereby voluntarily agree to participate in the study ","Have you started downloading the game?","Please enter the Participant Code that was given to You","Please indicate Your gender","Please indicate Your age","Please list out 3 of Your favorite games","Choose one of the following archetypes that best suits You","Have you completed the game?","If You had experienced any technical issues, please describe them and write how they influenced your gameplay","If You have any additional comments, please add them here"
"2020/11/29 4:09:29 PM GMT+2","Yes","Yes!","B21","Male","21","League of Legends, Apex Legends, Witcher 3","Survivor","Yes!","Everything was fine, but I couldn't jump into a pond :(","This type of game is kinda too long for me"
"2020/11/29 7:21:36 PM GMT+2","Yes","Yes!","B23","Male","25","Valorant, Dota2, CS:GO","Achiever","Yes!","No technical issues at all","I didn't like the way the W key worked. It felt like after holding W few seconds you moved too much, so movement didn't feel precise."
"2020/11/30 1:50:06 PM GMT+2","Yes","Yes!","B25","Male","22","Witcher 3, fallout 4, portal 2","Survivor","Yes!","The game crashed when i was standing AFK for 1min and then at the end of the game, when i got to the lake, it crashed as well",""
"2020/11/30 5:19:59 PM GMT+2","Yes","Yes!","B27","Male","26","Half Life 2. The legend of Zella breath of the wild. Kingdom Come: Deliverance","Seeker","Yes!","No everything was quite smooth","The movement feels a little weird. as there is no acceleration but only no speed and full speed and it took some getting used to."
"2020/11/30 6:51:48 PM GMT+2","Yes","Yes!","B13","Male","23","Grand theft auto, Counter strike, Track mania","Daredevil","Yes!","No issues","Its hard to find home after such a long walk :)"
"2020/11/30 7:02:44 PM GMT+2","Yes","Yes!","B22","Male","24","Borderlands, Assassin's Creed 2, Portal 2","Socialiser","Yes!","clicking ""jump"" a bit faster makes the bear jump on its own without input, i got stuck in the middle of the vines while running from the bees, could not move in any direction until I got hit by the bees and they knocked out of the vines.",""
"2020/11/30 7:04:11 PM GMT+2","Yes","Yes!","B06","Male","25","Overwatch, Spider man (ps4),Borderlands 2.","Mastermind","Yes!","","Everything looks amazing makes feel like you are in the adaventure time world. And one problem I was searching long time for easter eggs but cant find it."
"2020/11/30 7:54:17 PM GMT+2","Yes","Yes!","B26","Male","26","Osu!, Rocket League, Hollow Knight","Conqueror","Yes!","","I was zoning out on my way to the honey, because it seemed simple enough to just follow the bee. I also thought this was the only purpose in the game, so it really caught me by surprise when I suddenly had to backtrack! It turned out to be quite challenging to remember the path after not paying too much attention in the beginning. I also realized there were shortcuts on the way back, but I didn't want to take the risks after I found dead ends as well... I was trying to go as fast as possible while also staying on the safe path, but probably not a first try world record on this game :)"
"2020/11/30 10:22:47 PM GMT+2","Yes","Yes!","B28","Male","20","1. Fallout: New Vegas.
2. Stronghold Crusader.
3. Factorio.","Conqueror","Yes!","",""
"2020/12/01 1:11:54 AM GMT+2","Yes","Yes!","B10","Female","28","Echo, Oxenfree, Divinity Original Sin 2","Seeker","Yes!","I have stuck between the plants and the bees cornered me so I could not move. I was about to drop the game, but then I somehow managed to squiz myself out.",""
"2020/12/01 12:17:35 PM GMT+2","Yes","Yes!","B03","Female","22","Legend of Zelda, Pokemon, Mario Kart","Seeker","Yes!","I was stuck in dead end, with the bees behind me, pushing me in. But I got out fairly quickly","It was a long road, and I it got the tiniest bit boring just before you found the beehives, It could be made more fun, with some more obstacles. I also found it a bit difficult to find my way back. It could be cool with a mini map or something"
"2020/12/01 6:17:59 PM GMT+2","Yes","Yes!","B32","Male","23","Rust, CS:GO, Starbound","Conqueror","Yes!","In caves fps drops 50%. ","Bees need to be THICKER."
"2020/12/01 7:05:52 PM GMT+2","Yes","Yes!","B41","Female","23","Yakuza 7 like a dragon, Fire emblem radiant dawn, Ai the somnium files","Mastermind","Yes!","I didn't experience in technical issues, it was running very smoothly and nicely ","I enjoyed it even though I kind of got lost and confused while trying to run away, But it's a well made game. I guess maybe adding a HP bar and making it a little challenging would've been cool too, But very nice work over all. "
"2020/12/01 9:45:44 PM GMT+2","Yes","Yes!","B16","Male","20","Rocket League, OldSchool Runescape, Grand Theft Auto: San Andreas","Socialiser","Yes!","I have not experienced any technical issues.","Interesting experience, the soundtrack fit really well in my opinion."
"2020/12/02 11:10:31 PM GMT+2","Yes","Yes!","B44","Male","37","1. The Witcher 3 (more like all series)
2. Sid Meier`s Civilization VI (like most of the parts)
3. X-COM2 or Phoenix Point or Frost Punk or This War of Mine (can`t choose)","Seeker","Yes!","","Bees are immortal, I tried to fired them over the fireplace, that can hurt the bear. In the tunel where is place for jumping the bees dont fly over, but it looks like they have constant distance from the ground, so they fall down :D It was looking funny."
"2020/12/03 12:59:51 AM GMT+2","Yes","Yes!","B37","Male","23","Depends on genre, no such list across the board exists. ","Seeker","Yes!","None, the game ran fantastic.","Dragged out waaay longer than it should have, but I loved the art, visuals, narration and music."
"2020/12/03 4:19:52 PM GMT+2","Yes","Yes!","B39","Male","22","League of Legends, Skyrim, Rimworld","Conqueror","Yes!","The audio from the bees seemed to come from the wrong side. When the bee was to my left, I heard it in the right ear.","Was really fun. I loved the intro, both the art and the voice over. But fleeing from the bees at the end felt a lot less urgent when I realized I couldn't die or get a game over."
"2020/12/03 4:54:46 PM GMT+2","Yes","Yes!"," B36","Female","21","Black&White2TheBattleOfTheGods, Civilization V,  Life Is Strange (first one and ""before the storm""), Heavy rain, True fear 1,2, State Of Decay","Daredevil","Yes!","It worked fine","Cute music choice"
"2020/12/03 6:42:34 PM GMT+2","Yes","Yes!","B48","Male","32","Battlefield 4, God od War (the latest), Anno 1602","Seeker","Yes!","",""
"2020/12/03 6:45:03 PM GMT+2","Yes","Yes!","B43","Male","22","Dark Souls, Path Of Exile, Terraria","Achiever","Yes!","none","Intro audio could be mono, so it doesn't speak to only 1 ear"
"2020/12/03 7:32:17 PM GMT+2","Yes","Yes!","B50","Male","30","Planescape: Torment
The Elder Scrolls V: Skyrim
Diablo 2","Socialiser","Yes!","","I got lost so many times"
"2020/12/03 7:32:34 PM GMT+2","Yes","Yes!","B11","Male","21","Rocket League, Counterstrike, Call of duty","Conqueror","Yes!","",""
"2020/12/03 7:39:11 PM GMT+2","Yes","Yes!","B24","Male","28","CSGO, Conan The Barbarian, Rome Total War","Mastermind","Yes!","Minor graphical color glitches, but otherwise fun 🙏","Fun game! "
"2020/12/03 8:50:56 PM GMT+2","Yes","Yes!","B20","Male","28","Factorio, Warcraft III, Mount & Blade: BannerLord","Mastermind","Yes!","",""
"2020/12/03 9:19:07 PM GMT+2","Yes","Yes!","B24","Male","28","CSGO, Conan The Barbarian, Rome Total War","Mastermind","Yes!","Minor graphical color glitches, but otherwise fun 🙏","Fun game! "
"2020/12/03 11:44:44 PM GMT+2","Yes","Yes!","B53","Male","21","Sea of Thieves, Minecraft, League of Legends","Mastermind","Yes!","","Very repetitive"
"2020/12/04 11:12:52 AM GMT+2","Yes","Yes!","B54","Male","27","Warframe, Bastion, Counter-Strike: Global Offensive","Achiever","Yes!","The movement felt wonky when stopping. Otherwise none.","Fun, charming. I wish there was a secret ending. (Maybe there was?)"
"2020/12/04 1:07:46 PM GMT+2","Yes","Yes!","is B55","Non-binary","22","Dragon's Dogma Dark Arisen 
Assassin'a creed 2
The Elder Scrolls : Oblivion","Achiever","Yes!","i haven't had any technical issues ","I loved the different scenery and how the fire actually hurt, but the bees couldn't really reach me and even if i was going back and they're coming my way they don't catch up at all so that was unexpected."
"2020/12/04 4:27:53 PM GMT+2","Yes","Yes!","B51","Male","23","League of Legends, Destiny 2, Final Fantasy XIV","Mastermind","Yes!","reverse sound direction",""
"2020/12/04 5:03:43 PM GMT+2","Yes","Yes!","B52","Male","22","Factorio, Dwarf Fortress, Path of Exile","Mastermind","Yes!","Got stuck in geometry near start by jumping onto the lair and jumping into the trees. Sometimes noticeable vertical cut off for object rendering.","Pretty pleasant. Some of the clues as to choosing correct way were pretty obscure.  I'd suggest fleshing out the dead trees a bit. Or, if more challenge is desired, toning down the campfire and logs. Overall boringly plain."
"2020/12/04 5:27:41 PM GMT+2","Yes","Yes!","B59","Male","22","Dark Souls, Undertale, Europa Universalis IV","Seeker","Yes!","clipping thrugh objects",""
"2020/12/04 5:36:12 PM GMT+2","Yes","Yes!"," B36","Female","21","Black&White2TheBattleOfTheGods, Civilization V,  Life Is Strange (first one and ""before the storm""), Heavy rain, True fear 1,2, State Of Decay","Daredevil","Yes!","It worked fine","Cute music choice"
"2020/12/04 9:34:53 PM GMT+2","Yes","Yes!","B33","Male","26","The Witcher 3, Guild Wars 2, Star Citizen","Seeker","Yes!","","I wanted to see happy bear cubs eating honey"
"2020/12/04 11:27:35 PM GMT+2","Yes","Yes!","B58","Male","21","Assassin's Creed, Grand Theft Auto, SuperHot","Seeker","Yes!","",""
"2020/12/05 10:38:17 AM GMT+2","Yes","Yes!","B29","Male","28","Adventure
Exploration
Horror","Survivor","Yes!","Not really.","Sounds of the bees and the dramatic music was a bit too loud for my taste."
"2020/12/05 2:25:54 PM GMT+2","Yes","Yes!","B63","Female","21","roblox,stardew valley, osu","Achiever","Yes!","the sky was glitchy at points and there was a floating tree by the path just ruined what immersion i couldve had",""
"2020/12/05 2:35:17 PM GMT+2","Yes","Yes!","B64","Non-binary","25","Hollow Knight, Kotor 2, Umineko: When They Cry","Mastermind","Yes!","Music made me consider self-harm","Nice idea, really great. But some paths are too interesting. I've went into one just to see what is there"
"2020/12/05 5:31:50 PM GMT+2","Yes","Yes!","B49","Male","24","assasins creed valhala, saints row the third and pokemon","Seeker","Yes!","",""
"2020/12/05 7:43:05 PM GMT+2","Yes","Yes!","B60","Male","27","LoL, Gothic, Soldat","Mastermind","Yes!","After release movement keys bead doesn't immediately stop, but walk further",""
"2020/12/05 9:24:58 PM GMT+2","Yes","Yes!","B65","Male","22","CK2, Kingdom Come Deliverence, TES V Skyrim","Seeker","Yes!","",""
"2020/12/05 10:49:45 PM GMT+2","Yes","Yes!","B66","Male","23","Borderlands 2, Warframe, Rust","Achiever","Yes!","",""
"2020/12/06 3:33:02 PM GMT+2","Yes","Yes!","B30","Male","35","Counter Strike: Global Offensive, Crusader Kings III, Day of the Tentacle","Achiever","Yes!","","I liked the visual style"
"2020/12/06 3:38:18 PM GMT+2","Yes","Yes!","B62","Female","22","The Sims,  Leauge of legends, Lego Harry Potter ","Seeker","Yes!","It was okay.","It was nice to play, like a  game online for kids."
"2020/12/06 4:45:58 PM GMT+2","Yes","Yes!","B31","Male","30","Final Fantasy IX - World Of Warcraft - Final Fantasy XII","Conqueror","Yes!","","Render distance was slightly to short, you could circle around the lake and jump into it without activating the reset trigger"
"2020/12/07 8:55:42 AM GMT+2","Yes","Yes!","B46","Male","34","Civilization series, Elder Scrolls Series, Europa Universalis 4","Mastermind","Yes!","Smooth experience - no disturbing technical issues","Nice music, great voice over, first part light, the second a little stressful, music supported, was a nice experience, cute world. "
